iter	Accuracy	Logloss
270	0.8251748252	0.3788853791
271	0.8251748252	0.3788853469
272	0.8257829127	0.378360495
273	0.8259349346	0.3780556829
274	0.8259349346	0.3777513666
275	0.8263910003	0.3774076376
276	0.8266950441	0.3772871404
277	0.8266950441	0.3771119267
278	0.8266950441	0.3770000214
279	0.8266950441	0.3770000209
280	0.8273031317	0.376488173
281	0.8273031317	0.3764852863
282	0.8276071754	0.3763115012
283	0.8273031317	0.3762740171
284	0.8274551535	0.3757983191
285	0.8280632411	0.3755029156
286	0.8277591973	0.3753493183
287	0.8277591973	0.3749439903
288	0.8279112192	0.3747139921
289	0.8279112192	0.374250627
290	0.828215263	0.3739694314
291	0.8285193068	0.3734415661
292	0.8300395257	0.3729589844
293	0.8301915476	0.3728403403
294	0.8300395257	0.3727818754
295	0.8300395257	0.3726481584
296	0.8300395257	0.3723895034
297	0.8301915476	0.3723033056
298	0.8303435695	0.3719987717
299	0.8303435695	0.3717934752
300	0.8303435695	0.3716534525
301	0.8303435695	0.3712047419
302	0.8304955914	0.3708409818
303	0.8307996351	0.3703887174
304	0.8307996351	0.3698722614
305	0.8304955914	0.3696484627
306	0.8314077227	0.3692719451
307	0.8314077227	0.3691301016
308	0.8307996351	0.3688864358
309	0.8317117665	0.3687331837
310	0.8312557008	0.3681454901
311	0.8311036789	0.3679574949
312	0.8311036789	0.3678866001
313	0.8312557008	0.3678493564
314	0.8311036789	0.3675159388
315	0.8314077227	0.3672135003
316	0.8311036789	0.3671049654
317	0.8315597446	0.3666944734
318	0.8312557008	0.3665914478
319	0.8311036789	0.3661060549
320	0.8307996351	0.3660045107
321	0.8306476133	0.3659232048
322	0.8307996351	0.3657009109
323	0.8317117665	0.3654997831
324	0.830951657	0.3652721554
325	0.8315597446	0.3644341197
326	0.8318637884	0.3643390326
327	0.832471876	0.3642443474
328	0.8327759197	0.3640538002
329	0.8332319854	0.363652149
330	0.8329279416	0.3636124358
331	0.8327759197	0.3633402701
332	0.8332319854	0.3633204739
333	0.8329279416	0.3632798283
334	0.8335360292	0.3630582225
335	0.8335360292	0.3630225723
336	0.8333840073	0.3626942105
337	0.8327759197	0.3624584582
338	0.8330799635	0.3623711578
339	0.8330799635	0.3619785948
340	0.8330799635	0.3618034425
341	0.8330799635	0.3617357048
342	0.8339920949	0.3613351838
343	0.8339920949	0.3611347771
344	0.8344481605	0.3609334137
345	0.8342961386	0.3609086563
346	0.8350562481	0.3607205305
347	0.8350562481	0.3606900948
348	0.8356643357	0.3603769827
349	0.8362724232	0.3600761334
